-142.725;-82.121;-11.347
-142.725;-73.477;-10.824
-142.725;-64.832;-10.365
-142.725;-56.187;-9.967
-142.725;-47.542;-9.632
-142.725;-38.898;-9.361
-142.725;-30.253;-9.150
-142.725;-21.608;-9.002
-142.725;-12.964;-8.915
-142.724;-4.319;-8.890
-142.725;4.324;-8.926
-142.724;12.969;-9.021
-142.724;21.613;-9.175
-142.724;30.258;-9.391
-142.723;38.902;-9.666
-142.723;47.547;-9.999
-142.723;56.191;-10.391
-142.723;64.835;-10.840
-142.723;73.480;-11.349
-142.722;82.124;-11.913
-132.880;90.769;-11.389
-132.880;82.123;-10.765
-132.881;73.479;-10.198
-132.880;64.834;-9.690
-132.880;56.190;-9.239
-132.881;47.546;-8.846
-132.881;38.901;-8.511
-132.882;30.256;-8.232
-132.881;21.613;-8.018
-132.882;12.967;-7.862
-132.882;4.323;-7.765
-132.883;-4.321;-7.728
-132.882;-12.965;-7.751
-132.882;-21.609;-7.836
-132.882;-30.254;-7.983
-132.883;-38.898;-8.192
-132.883;-47.544;-8.462
-132.882;-56.188;-8.796
-132.882;-64.832;-9.191
-132.882;-73.477;-9.649
-132.882;-82.121;-10.172
-132.882;-90.766;-10.756
-123.040;-99.411;-10.308
-123.039;-90.765;-9.661
-123.039;-82.121;-9.077
-123.039;-73.477;-8.558
-123.039;-64.832;-8.100
-123.039;-56.187;-7.707
-123.039;-47.543;-7.377
-123.039;-38.898;-7.107
-123.039;-30.253;-6.900
-123.039;-21.608;-6.754
-123.039;-12.964;-6.670
-123.038;-4.320;-6.648
-123.038;4.324;-6.688
-123.038;12.968;-6.785
-123.038;21.613;-6.943
-123.039;30.258;-7.160
-123.038;38.902;-7.439
-123.038;47.546;-7.774
-123.037;56.191;-8.168
-123.037;64.835;-8.620
-123.038;73.480;-9.130
-123.037;82.124;-9.697
-123.037;90.769;-10.321
-123.036;99.413;-11.005
-113.194;108.057;-10.761
-113.194;99.413;-10.020
-113.194;90.768;-9.337
-113.194;82.123;-8.712
-113.194;73.479;-8.143
-113.194;64.835;-7.631
-113.195;56.190;-7.179
-113.195;47.546;-6.784
-113.195;38.901;-6.447
-113.195;30.256;-6.168
-113.195;21.612;-5.949
-113.196;12.967;-5.791
-113.196;4.323;-5.692
-113.196;-4.321;-5.651
-113.196;-12.966;-5.672
-113.196;-21.610;-5.754
-113.196;-30.254;-5.898
-113.196;-38.899;-6.105
-113.196;-47.543;-6.372
-113.196;-56.188;-6.701
-113.196;-64.832;-7.095
-113.196;-73.477;-7.550
-113.196;-82.122;-8.069
-113.196;-90.766;-8.651
-113.197;-99.411;-9.295
-113.197;-108.055;-10.006
-103.353;-116.700;-9.850
-103.353;-108.055;-9.076
-103.353;-99.411;-8.366
-103.353;-90.765;-7.723
-103.353;-82.121;-7.143
-103.353;-73.476;-6.625
-103.353;-64.832;-6.170
-103.353;-56.187;-5.779
-103.353;-47.543;-5.450
